truth,pred,pred_sir,fecha
548.0,541.4529073101123,501.5829498857193,2021-04-05
548.0,569.5323606539141,520.3149036070913,2021-04-05
452.0,1088.0,847.0,2021-04-06
452.0,0.0,847.0,2021-04-06
116.0,617.0,357.0,2021-04-07
116.0,382.0,357.0,2021-04-07
386.0,441.0,825.0,2021-04-08
386.0,42.0,825.0,2021-04-08
608.0,661.0,567.0,2021-04-09
608.0,0.0,567.0,2021-04-09
589.0,710.0,382.0,2021-04-10
589.0,0.0,382.0,2021-04-10
647.0,548.0,583.0,2021-04-11
647.0,0.0,583.0,2021-04-11
638.0,452.0,1587.0,2021-04-12
638.0,0.0,1587.0,2021-04-12
492.0,116.0,587.0,2021-04-13
401.0,245.0,120.0,2021-04-14
588.0,309.0,100.0,2021-04-15
688.0,214.0,210.0,2021-04-16
464.0,389.0,255.0,2021-04-17
662.0,171.0,119.0,2021-04-18
845.0,767.1950233159384,770.630586404178,2021-04-19
845.0,770.822272764287,913.9068698149717,2021-04-19
723.0,64.0,418.0,2021-04-20
723.0,349.0,418.0,2021-04-20
389.0,155.0,0.0,2021-04-21
389.0,464.0,0.0,2021-04-21
506.0,114.0,0.0,2021-04-22
506.0,596.0,0.0,2021-04-22
529.0,0.0,79.0,2021-04-23
529.0,464.0,79.0,2021-04-23
590.0,98.0,139.0,2021-04-24
590.0,586.0,139.0,2021-04-24
487.0,399.0,724.0,2021-04-25
487.0,369.0,724.0,2021-04-25
606.0,448.0,0.0,2021-04-26
606.0,195.0,0.0,2021-04-26
